City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Cedar City,US,2021-08-12 19:16:42,37.6775,-113.0619,89.4,17,1,6.91
89,Alta Floresta,BR,2021-08-12 19:17:49,-9.8756,-56.0861,98.53,15,98,5.08
90,Sibolga,ID,2021-08-12 19:17:50,1.7427,98.7792,75.58,91,100,3.29
91,Faya,SA,2021-08-12 19:17:50,18.3851,42.4509,68.11,46,100,6.42
92,Sao Joao Da Barra,BR,2021-08-12 19:17:50,-21.6403,-41.0511,71.69,78,24,13.18
93,Cherskiy,RU,2021-08-12 19:17:51,68.75,161.3,56.91,61,100,2.28
94,Fortuna,US,2021-08-12 19:17:51,40.5982,-124.1573,84.42,79,1,11.5
95,New Norfolk,AU,2021-08-12 19:17:51,-42.7826,147.0587,51.3,66,34,8.01
96,Caravelas,BR,2021-08-12 19:17:52,-17.7125,-39.2481,74.39,70,9,7.4
97,Tasiilaq,GL,2021-08-12 19:17:52,65.6145,-37.6368,51.96,70,90,3.04
98,Ulaangom,MN,2021-08-12 19:17:52,49.9811,92.0667,61.75,64,10,2.3
99,Faanui,PF,2021-08-12 19:17:53,-16.4833,-151.75,78.69,65,0,13.15
100,Wajir,KE,2021-08-12 19:17:53,1.7471,40.0573,87.19,34,100,18.99
101,Kurilsk,RU,2021-08-12 19:17:53,45.2333,147.8833,51.51,89,1,2.19
102,Sioux Lookout,CA,2021-08-12 19:17:54,50.1001,-91.917,59.07,58,90,17.27
103,Iqaluit,CA,2021-08-12 19:14:05,63.7506,-68.5145,41.43,95,100,15.95
104,Souillac,MU,2021-08-12 19:17:54,-20.5167,57.5167,71.98,83,40,11.5
105,Ambon,ID,2021-08-12 19:17:54,-3.6954,128.1814,77.14,94,40,2.3
106,Cockburn Town,TC,2021-08-12 19:17:55,21.4612,-71.1419,85.96,70,75,16.11
107,Panaba,MX,2021-08-12 19:17:55,21.2833,-88.2667,98.64,35,44,9.19
108,Bredasdorp,ZA,2021-08-12 19:17:55,-34.5322,20.0403,47.52,87,97,3.44
109,Ballesteros,PH,2021-08-12 19:17:56,18.4126,121.5152,76.86,87,100,3.87
110,Yulara,AU,2021-08-12 19:17:56,-25.2406,130.9889,42.64,52,0,5.75
111,Ketchikan,US,2021-08-12 19:17:56,55.3422,-131.6461,69.22,70,0,5.61
112,Shetpe,KZ,2021-08-12 19:17:57,44.1667,52.1167,90.63,19,61,10.18
113,Requena,ES,2021-08-12 19:17:57,39.4883,-1.1004,78.58,21,96,9.46
114,Benghazi,LY,2021-08-12 19:17:58,32.1167,20.0667,82.15,77,0,16.73
115,Ponta Do Sol,PT,2021-08-12 19:17:58,32.6667,-17.1,75.83,77,7,4.5
116,Kem,RU,2021-08-12 19:17:58,64.9555,34.5793,61.36,67,100,2.98
117,Verkhniy Avzyan,RU,2021-08-12 19:17:59,53.5289,57.5372,50.32,60,0,2.59
118,Xining,CN,2021-08-12 19:17:59,36.6167,101.7667,53.33,77,4,3.11
119,Gombong,ID,2021-08-12 19:17:59,-7.6072,109.5142,73.8,93,67,1.68
120,Bengkulu,ID,2021-08-12 19:17:59,-3.8004,102.2655,74.53,90,100,4.34
121,Cidreira,BR,2021-08-12 19:18:00,-30.1811,-50.2056,57.07,67,100,9.91
122,Cap Malheureux,MU,2021-08-12 19:18:00,-19.9842,57.6142,72.09,83,3,4.0
123,Athabasca,CA,2021-08-12 19:13:45,54.7169,-113.2854,74.46,29,92,7.7
124,Ust-Kulom,RU,2021-08-12 19:18:01,61.6864,53.6902,57.85,76,87,5.1
125,Beian,NO,2021-08-12 19:18:01,63.6559,9.5683,64.49,77,75,3.44
126,Bratsk,RU,2021-08-12 19:18:01,56.1325,101.6142,61.29,96,100,4.07
127,Karratha,AU,2021-08-12 19:18:02,-20.7377,116.8463,63.79,21,0,11.41
128,Mwanza,TZ,2021-08-12 19:18:17,-2.5167,32.9,75.15,61,74,2.59
129,The Pas,CA,2021-08-12 19:18:17,53.8251,-101.2541,59.02,47,90,16.33
130,Mathathane,BW,2021-08-12 19:18:18,-22.2687,28.7495,69.91,26,0,7.27
131,Seymour,US,2021-08-12 19:16:35,38.9592,-85.8903,95.27,60,4,7.0
132,Makakilo City,US,2021-08-12 19:18:18,21.3469,-158.0858,82.72,58,75,8.05
133,Kapaa,US,2021-08-12 19:18:05,22.0752,-159.319,82.72,68,1,1.99
