CIty_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
114,Castro,-24.7911,-50.0119,61.84,81,50,5.19,BR,Clouds
115,Te Anau,-45.4167,167.7167,43.47,95,100,5.86,NZ,Clouds
116,Bayburt,40.2589,40.2278,55.83,86,48,3.65,TR,Clouds
117,Orlik,52.5178,99.825,54.7,81,100,1.01,RU,Clouds
118,Flinders,-34.5833,150.8552,49.05,83,37,1.99,AU,Clouds
119,Torbay,47.6666,-52.7314,76.87,90,87,1.01,CA,Clouds
120,General Pico,-35.6566,-63.7568,66.18,27,0,7.49,AR,Clear
121,Narsaq,60.9167,-46.05,52.02,84,100,2.89,GL,Rain
122,Orativ,49.1889,29.527,64.67,59,67,3.56,UA,Clouds
123,Kodinsk,58.6881,99.1844,60.04,99,100,5.68,RU,Rain
124,Mascota,20.5167,-104.7833,75.31,59,47,4.72,MX,Clouds
125,Massaguet,12.4755,15.4365,81.57,73,55,4.25,TD,Clouds
126,Broken Hill,-31.95,141.4333,48.07,54,7,3.47,AU,Clear
127,Aklavik,68.2191,-135.0107,60.73,49,15,11.7,CA,Clouds
128,Ozinki,51.1786,49.6769,73.9,21,2,8.32,RU,Clear
129,Kahului,20.8947,-156.47,84.97,78,16,11.1,US,Clouds
130,Ayr,55.4627,-4.6339,59.92,77,20,8.05,GB,Clouds
131,Ormond Beach,29.2858,-81.0559,84.22,66,75,4.0,US,Thunderstorm
132,Tacuarembo,-31.7333,-55.9833,62.38,69,66,2.48,UY,Clouds
133,Nemuro,43.3236,145.575,56.39,83,98,14.03,JP,Rain
134,Mindelo,16.8901,-24.9804,78.35,69,20,18.41,CV,Clouds
135,Norman Wells,65.282,-126.8329,49.23,96,100,4.72,CA,Rain
136,Ust-Kan,50.9276,84.761,50.9,99,100,3.11,RU,Clouds
137,Carnarvon,-24.8667,113.6333,50.07,37,0,10.36,AU,Clear
138,Amersham,51.6667,-0.6167,68.97,73,0,8.05,GB,Clear
139,Yasothon,15.75,104.1333,75.51,93,100,9.6,TH,Rain
140,Bathsheba,13.2167,-59.5167,84.38,66,100,8.66,BB,Clouds
141,Khandyga,62.6667,135.6,60.28,71,28,4.09,RU,Clouds
142,Terre Haute,39.4667,-87.4139,82.67,54,1,1.99,US,Clear
143,Dillon,34.4166,-79.3712,95.49,42,86,7.78,US,Clouds
144,Srednekolymsk,67.45,153.6833,47.35,81,100,11.86,RU,Clouds
145,Lebu,-37.6167,-73.65,50.56,76,100,5.5,CL,Clouds
146,Vista Hermosa,19.5167,-99.2167,70.61,51,84,6.53,MX,Clouds
147,Bengkulu,-3.8004,102.2655,75.42,88,93,4.59,ID,Rain
148,Avarua,-21.2078,-159.775,69.85,88,90,3.44,CK,Rain
149,Ulaangom,49.9811,92.0667,65.79,54,99,6.46,MN,Clouds
150,Matay,28.419,30.7792,89.67,25,0,8.08,EG,Clear
151,Faanui,-16.4833,-151.75,78.31,73,0,4.97,PF,Clear
152,Pevek,69.7008,170.3133,36.03,96,100,17.09,RU,Rain
153,Bambous Virieux,-20.3428,57.7575,70.21,88,75,16.11,MU,Rain
154,Dudinka,69.4058,86.1778,52.32,95,96,9.62,RU,Clouds
155,Lamar,33.6668,-95.5836,75.18,41,96,4.41,US,Clouds
156,Urumqi,43.801,87.6005,61.75,77,75,8.95,CN,Rain
157,Noumea,-22.2763,166.4572,53.58,70,2,9.33,NC,Clear
158,Upata,8.0086,-62.3989,84.2,80,99,4.03,VE,Clouds
159,Mgandu,-5.95,34.1333,65.88,49,57,12.17,TZ,Clouds
160,Guatire,10.4762,-66.5427,84.2,92,100,0.74,VE,Clouds
161,Lompoc,34.6391,-120.4579,93.78,67,1,18.41,US,Clear
